id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45203174,Madison Ave 4 Bedroom Triplex,357279975,Amal,Manhattan,East Harlem,40.80898,-73.93804,Entire home/apt,514,4,49,2023-02-18,1.66,4,196,27,
45203962,Bright & Airy Brownstone Loft Apartment,132844782,Jen,Brooklyn,Park Slope,40.66584,-73.97927,Entire home/apt,182,2,137,2023-01-16,4.55,2,75,49,
45204055,Amazing Manhattan Location,365090021,Yuan,Manhattan,Harlem,40.82814,-73.94794,Private room,83,1,52,2023-02-20,1.73,3,74,15,
45205118,CUTE & COZY Studio Space mins from JFK!,75114184,Cordeelia,Brooklyn,East New York,40.65487,-73.87345,Private room,65,30,0,,,1,0,0,
45270796,Peaceful and comfortable furnished apartment,83786650,Bridge,Manhattan,Upper East Side,40.7602,-73.96071,Entire home/apt,150,30,5,2022-01-16,0.17,16,0,0,
45271787,Two Bed + Two Bath Apartment with Hotel Amenities,293753583,Pod,Manhattan,Hell's Kitchen,40.7584,-73.99308,Entire home/apt,294,30,2,2023-01-31,0.35,7,170,2,
45015940,Flatbush Brooklyn caLm Basement,363326797,Samuel,Brooklyn,East Flatbush,40.64699,-73.94846,Private room,100,2,1,2022-05-29,0.11,1,364,1,
45272578,The Family place Where Everyone Feel At Home,365819135,A,Queens,Astoria,40.76596,-73.90987,Shared room,52,30,1,2020-09-27,0.03,1,0,0,
45037010,The Bronx House Studio,121544270,Davis,Bronx,Wakefield,40.88839,-73.85495,Entire home/apt,128,30,0,,,2,365,0,
45045785,BIG BRIGHT ROOM IN BEST LES LOCATION,35594166,A.G.,Manhattan,Chinatown,40.71626,-73.99093,Private room,130,7,6,2022-12-31,0.80,2,365,6,
45205306,Spacious studio in Brooklyn,52716387,Otis,Brooklyn,Bushwick,40.698112,-73.934021,Entire home/apt,142,3,7,2023-01-02,0.76,1,0,7,
45275194,Furnished studio in the UES (30 days MIN),23772724,The Local Stay,Manhattan,Upper East Side,40.7745,-73.9512,Entire home/apt,99,30,8,2023-01-02,0.31,62,310,2,
45208991,In The Heart Of It All!,294320226,Kechel,Brooklyn,Bedford-Stuyvesant,40.68636,-73.94091,Shared room,65,1,0,,,1,0,0,
45048137,Private room in Fully Furnished apartment!,301123804,Malak,Manhattan,Harlem,40.82233,-73.93806,Private room,38,30,1,2021-08-15,0.05,1,0,0,
45277024,Prime Location- PLEASE READ!!!!,164345159,Gina,Manhattan,Upper East Side,40.76097,-73.96213,Private room,105,1,55,2023-02-11,3.14,1,47,39,
45215694,"Private room in great location Queens, NY.",278685224,Maribel,Queens,Corona,40.73656,-73.86042,Private room,110,1,1,2022-11-16,0.27,1,0,1,
45216079,Great view to riverside park! Near Columbia Univ!,112273279,Jesús,Manhattan,Morningside Heights,40.80715,-73.96599,Shared room,90,2,84,2023-01-29,2.78,1,0,42,
45277303,433 West 53-Furnished apartment in Midtown West,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.76749,-73.98807,Entire home/apt,110,30,5,2021-09-12,0.19,131,254,0,
45216874,Convenient Modern Bedroom - 30 minutes to Midtown,133602911,Sanyika,Bronx,Mount Hope,40.851,-73.90303,Private room,44,30,11,2023-01-31,0.38,2,50,5,
45051130,Beautiful roomy bedroom bordering Astoria Park,115688056,Michael,Queens,Astoria,40.77376,-73.9224,Private room,50,13,0,,,1,0,0,
45277434,433 West 53-Super Spacious Studio in Midtown West,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.76747,-73.98802,Entire home/apt,130,30,3,2021-07-02,0.10,131,214,0,
45277537,433 West 53-Two Bedroom apartment,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.76661,-73.9881,Entire home/apt,150,30,7,2022-12-09,0.25,131,279,2,
45056520,HUGE 2br Waterfront Greenpoint Loft,6441411,Nicole,Brooklyn,Greenpoint,40.73431,-73.95794,Entire home/apt,380,6,1,2020-10-15,0.03,1,0,0,
45281615,Sun drenched cozy apt w/ city views!,47988351,Danie,Manhattan,Chinatown,40.71302,-73.99595,Private room,126,3,32,2022-12-17,2.09,2,92,29,
45057269,Radha Budget Cozy Private Room (fights NYC Hunger),310205815,Annie & Lee,Manhattan,East Village,40.72422,-73.98675,Private room,69,1,139,2023-02-18,4.60,3,96,51,
45217392,New Stay,365260642,Marina,Brooklyn,Sheepshead Bay,40.58488,-73.9588,Entire home/apt,135,30,1,2020-09-07,0.03,1,0,0,
45286452,Room in shared house/25min subway  from Manhattan,204704622,Momoyo,Queens,Jackson Heights,40.7509,-73.87708,Private room,29,30,0,,,178,60,0,
45218458,MINI PALACE! Artistic apartment in CARROLL GARDENS,15856385,Patrick,Brooklyn,Carroll Gardens,40.68192,-73.99712,Entire home/apt,545,46,3,2022-04-05,0.13,1,83,1,
45057731,There is a Living and Bedroom in the room,19303369,Hiroki,Queens,Jackson Heights,40.75217,-73.87844,Private room,30,30,1,2022-07-18,0.13,207,32,1,
45286461,Historic Brooklyn Brownstone with Modern Amenities,24827643,Danny,Brooklyn,Carroll Gardens,40.68034,-73.99291,Entire home/apt,500,30,2,2021-09-09,0.10,1,64,0,
45286592,"3 mn to Bronx Lebanon, close to Yanke, D,B,4 train",157589285,Elhadj,Bronx,Claremont Village,40.83805,-73.9087,Private room,45,3,45,2023-02-25,1.53,1,321,26,
45064161,Near the station! Private room in woodside,19303369,Hiroki,Queens,Woodside,40.74653,-73.89762,Private room,36,30,1,2021-06-14,0.05,207,0,0,
45219107,NYC @ My WholeTwo Bedroom for you & your family,365279318,Dianne,Manhattan,Harlem,40.8265,-73.9387,Entire home/apt,160,2,27,2022-12-30,1.55,1,263,16,
45287391,Easy access to Manhattan : Good Condition room,19303369,Hiroki,Queens,Jackson Heights,40.7512,-73.87821,Private room,29,30,1,2022-10-28,0.23,207,29,1,
45287978,Bright Sugar Hill / Harlem 2 bedroom apt- king bed,45558825,Eugenia,Manhattan,Harlem,40.82633,-73.94433,Entire home/apt,128,30,3,2023-02-10,0.43,1,9,3,
45219192,"20mins to TimesSQ ☆彡 COZY, Huge Living Room",200239515,Shogo,Queens,Woodside,40.743,-73.90464,Private room,34,30,0,,,192,53,0,
45064453,Studio 7- Brooklyn's Hidden Gem,363643848,Karna,Brooklyn,East New York,40.67461,-73.88718,Entire home/apt,250,3,1,2020-11-29,0.04,1,0,0,
45290301,Apartment available in LIC,60376755,Francielly,Queens,Long Island City,40.75418,-73.93508,Entire home/apt,300,30,0,,,1,0,0,
45065816,Sita Budget Cozy Private Room (fights NYC Hunger),310205815,Annie & Lee,Manhattan,East Village,40.72584,-73.98808,Private room,68,1,148,2023-02-14,4.86,3,85,50,
45066000,Laxmi Budget Cozy Private Room (fights NYC Hunger),310205815,Annie & Lee,Manhattan,East Village,40.72361,-73.98693,Private room,77,1,113,2023-02-16,3.83,3,100,54,
45220334,Hóspede bem 1 quadra da san patric church,300551054,Celina,Manhattan,Midtown,40.75617,-73.97818,Shared room,85,31,0,,,2,0,0,
45220540,Modern New York City Penthouse w/ Incredible Views,1863598,Sotirios,Manhattan,Financial District,40.70529,-74.01263,Entire home/apt,145,30,0,,,1,0,0,
45295952,Amazing full apt. near park & outdoor restaurants,54677106,Alan,Brooklyn,Prospect Heights,40.67771,-73.96801,Entire home/apt,275,2,34,2023-01-15,1.18,1,0,17,
45296324,"Sun Drenched Two Bedroom L Train, Dishwasher, Yard",47703629,Drew,Brooklyn,Williamsburg,40.70675,-73.9384,Entire home/apt,90,30,0,,,1,0,0,
45221540,Walking Distance From Yankee Stadium & Many parks!,365301635,Subrina,Bronx,Mount Eden,40.83887,-73.91755,Private room,70,1,17,2023-01-03,1.68,3,365,17,
45222438,Beautiful East Williamsburg Room,83313026,Randi,Brooklyn,Williamsburg,40.70733,-73.94191,Private room,125,30,0,,,1,0,0,
45068785,"""Brooklyn's Finest"" Bed-Stuy💎Gem /w Rooftop Views",43684878,Marcus,Brooklyn,Bedford-Stuyvesant,40.69333,-73.93028,Entire home/apt,130,12,25,2022-08-24,1.40,1,0,13,
45069853,Prime Nolita Manhattan Full Apt 1Bed & 1Bath,4056243,Sam,Manhattan,Nolita,40.72226,-73.99497,Entire home/apt,138,30,0,,,1,34,0,
45070596,Sparkling & Lovely 2 bedroom apt in East Village,362635506,Jorge,Manhattan,East Village,40.72441,-73.98795,Entire home/apt,371,2,71,2023-03-04,2.43,1,253,26,
